ID_TMatrix_V1,Df,kf,R_RI,I_RI,WaveL,dp,Np,Version,Hash,created_at,updated_at
1,1.96,1.2,1.57,0.61,870.7,34.5,64.0,0.1,70bfd86bb6aa6982921b19c98dc7460c4cf0cf04,2019-07-15 18:34:31,2019-07-15 18:34:31
2,2.15,1.2,1.58,0.58,870.9,34.4,65.0,0.1,893f282e788313000c652f6430909c2bc2f5a955,2019-07-15 18:34:31,2019-07-15 18:34:31
3,1.96,1.2,1.46,0.4,867.0,35.4,60.0,0.1,695bd426dbd5fec80e52bd43ec0167c9c8dc85af,2019-07-15 18:34:31,2019-07-15 18:34:31
4,2.1,1.2,1.68,0.16,871.0,27.0,64.0,0.1,0a26704aea3799c26fb8439cc18c450f15c48f48,2019-07-15 18:34:31,2019-07-15 18:34:31
5,2.11,1.2,1.37,0.46,868.6,27.6,68.0,0.1,ce7c9950f8bda81438ad2f1a3ddb9665e3cc39c8,2019-07-15 18:34:31,2019-07-15 18:34:31
6,2.02,1.2,1.56,0.41,871.9,29.7,69.0,0.1,f7b8fc6c01c89e2b7cbc006a7b4e2712bad974e0,2019-07-15 18:34:31,2019-07-15 18:34:31
7,2.0,1.2,1.51,0.54,872.6,26.7,64.0,0.1,81e3cf9ff75d066b81d9624339582130aa384fbf,2019-07-15 18:34:31,2019-07-15 18:34:31
8,1.95,1.2,1.52,0.41,870.1,21.3,62.0,0.1,29f71a65294004d5c3570add0dc8dff3c138f71a,2019-07-15 18:34:31,2019-07-15 18:34:31
9,1.9,1.2,1.44,0.43,872.0,33.2,66.0,0.1,35356c4d36cff6e236a21f812c016c8395e45c8c,2019-07-15 18:34:31,2019-07-15 18:34:31
10,2.09,1.2,1.44,0.47,871.1,21.7,70.0,0.1,adfc381906011ce3c90c82567deba3e550e73a18,2019-07-15 18:34:31,2019-07-15 18:34:31
11,2.14,1.2,1.5,0.44,873.5,36.9,57.0,0.1,613bc6e63ac4d53f8353143ac84e6248da2dc6c5,2019-07-15 18:34:31,2019-07-15 18:34:31
12,1.87,1.2,1.39,0.29,871.2,26.8,70.0,0.1,840932e79d6e532502037d286afbf5e7d4fa9cdb,2019-07-15 18:34:31,2019-07-15 18:34:31
13,1.89,1.2,1.63,0.5,873.5,31.2,67.0,0.1,a8346e23335a225461b0d6320f46003b644e39e3,2019-07-15 18:34:31,2019-07-15 18:34:31
14,1.87,1.2,1.45,0.52,871.6,34.6,57.0,0.1,935106c299ebbf4b0188fb1c9e2cccca860319c8,2019-07-15 18:34:31,2019-07-15 18:34:31
15,1.9,1.2,1.44,0.35,868.7,35.1,68.0,0.1,cbfb54b88910bc14770a2903a783f3438710d53b,2019-07-15 18:34:31,2019-07-15 18:34:31
16,2.03,1.2,1.58,0.37,868.2,34.6,52.0,0.1,7330b4551a2a3d8237cf64a4627fc7440f2d9db9,2019-07-15 18:34:31,2019-07-15 18:34:31
17,1.99,1.2,1.65,0.41,870.6,31.7,60.0,0.1,e37fd28e840d4ebf76f2bad7f421aa04519e0ef6,2019-07-15 18:34:31,2019-07-15 18:34:31
18,1.92,1.2,1.46,0.53,870.8,18.6,64.0,0.1,375f9c2a6c2e66a1b396073a549739041b93a961,2019-07-15 18:34:31,2019-07-15 18:34:31
19,2.01,1.2,1.51,0.34,869.5,28.1,65.0,0.1,b230b55ccac1da86c3b04a24183bcb2df7cfdf29,2019-07-15 18:37:41,2019-07-15 18:37:41
20,1.88,1.2,1.55,0.22,872.4,28.7,69.0,0.1,4071f0141695e76bdb12a82dd26984570128b3c7,2019-07-15 18:37:41,2019-07-15 18:37:41
21,1.84,1.2,1.41,0.47,868.6,35.3,62.0,0.1,022f327a9778ae93259d77bd190ddec607050d51,2019-07-15 18:37:41,2019-07-15 18:37:41
22,2.03,1.2,1.35,0.57,873.7,21.2,62.0,0.1,2c4d5eb78f4dd607bf2747b9755988af5a615751,2019-07-15 18:37:41,2019-07-15 18:37:41
23,2.17,1.2,1.61,0.36,870.1,31.4,66.0,0.1,0117cf88d43a010eac15b24fff63658c3823d3e6,2019-07-15 18:37:41,2019-07-15 18:37:41
24,1.99,1.2,1.58,0.51,869.2,26.6,63.0,0.1,600d196df424e5adffc2a89df2e48c6dd18c8bfa,2019-07-15 18:37:41,2019-07-15 18:37:41
25,2.02,1.2,1.4,0.35,868.1,32.9,64.0,0.1,58df7e9450dd01f8adc8e25738318340a3a10a98,2019-07-15 18:37:41,2019-07-15 18:37:41
26,1.98,1.2,1.5,0.6,870.9,29.1,70.0,0.1,963fb093eeb2ff80633b65178e0b9c59bd6c37d0,2019-07-15 18:37:41,2019-07-15 18:37:41
27,1.93,1.2,1.41,0.34,869.0,31.1,63.0,0.1,261005d59a32032970457b0af401688b8989efcf,2019-07-15 18:37:41,2019-07-15 18:37:41
28,1.99,1.2,1.43,0.41,871.2,33.1,59.0,0.1,0fd79bc0e5882c8b027a7db40b8cb0288c6fe2c1,2019-07-15 18:37:41,2019-07-15 18:37:41
29,1.89,1.2,1.65,0.43,865.9,40.5,63.0,0.1,0267c55817d1d0d3c9718f650cebda9618fa0279,2019-07-15 18:37:41,2019-07-15 18:37:41
30,2.0,1.2,1.56,0.34,870.7,32.8,66.0,0.1,93c86f66daf45d2f1bba9ad1ef4386d5546c749a,2019-07-15 18:37:41,2019-07-15 18:37:41
31,1.89,1.2,1.49,0.57,870.1,32.1,64.0,0.1,74fd5f9c5abfe35f947075f7bc3fe1ad9a202616,2019-07-15 18:37:41,2019-07-15 18:37:41
32,1.98,1.2,1.53,0.43,867.6,31.3,78.0,0.1,ff9dfaccd77a720c6a3145f58e3e21618a5c85d4,2019-07-15 18:37:41,2019-07-15 18:37:41
33,1.83,1.2,1.62,0.41,872.3,24.6,63.0,0.1,682b44ef61d01052c997a66440b9e8ed90b5c675,2019-07-15 18:37:41,2019-07-15 18:37:41
34,1.81,1.2,1.45,0.38,873.5,25.6,73.0,0.1,ddc93bf41f8c5b6b4eb8c3344d3b2d81f79d6dd7,2019-07-15 18:37:41,2019-07-15 18:37:41
35,2.07,1.2,1.57,0.27,869.9,25.3,67.0,0.1,c0865d9009fa9580685672b98bda7486ede9d5e5,2019-07-15 18:38:25,2019-07-15 18:38:25
36,1.97,1.2,1.34,0.52,869.1,22.8,67.0,0.1,9286506a837d3c27562ed83396e49413e5570cba,2019-07-15 18:38:25,2019-07-15 18:38:25
37,1.88,1.2,1.41,0.35,871.7,33.3,57.0,0.1,bdb0ab746fde1138d3b25d389d7da5176512be52,2019-07-15 18:38:25,2019-07-15 18:38:25
38,1.98,1.2,1.31,0.35,865.2,26.5,69.0,0.1,b7f9bb6f2e25f8da5203c0a77a51886380663c92,2019-07-15 18:38:25,2019-07-15 18:38:25
39,1.92,1.2,1.56,0.25,870.7,40.3,70.0,0.1,2075f03e1f345a01ae487e591cda75e8c6d1942f,2019-07-15 18:38:25,2019-07-15 18:38:25
40,1.86,1.2,1.49,0.35,870.1,40.0,70.0,0.1,2e48022ddb4d546e563f7092e581575004ef8680,2019-07-15 18:38:25,2019-07-15 18:38:25
41,2.01,1.2,1.66,0.2,870.9,29.3,63.0,0.1,7961d13bf83822003efa5daa6469a5a92eaf9379,2019-07-15 18:38:25,2019-07-15 18:38:25
42,1.91,1.2,1.5,0.49,872.6,28.8,65.0,0.1,99101ebf42a3af8360ea4f6adb1573690a35589c,2019-07-15 18:38:25,2019-07-15 18:38:25
43,2.01,1.2,1.56,0.5,871.2,25.1,56.0,0.1,056eef735254830472875d321fc16945327420b1,2019-07-15 18:38:25,2019-07-15 18:38:25
44,2.14,1.2,1.49,0.38,871.9,34.3,64.0,0.1,7090141cb8296aff0ee8c2d47c769a197331a907,2019-07-15 18:38:25,2019-07-15 18:38:25
45,1.86,1.2,1.59,0.4,868.1,35.3,66.0,0.1,d7b7003dc86a7d2f62f2bf7cf86c1c823d41dc42,2019-07-15 18:38:25,2019-07-15 18:38:25
46,2.08,1.2,1.51,0.38,868.8,31.1,61.0,0.1,30c583c5cb7ae325c7e4efad7fde65c10fb3cefc,2019-07-15 18:38:25,2019-07-15 18:38:25
47,1.94,1.2,1.42,0.57,866.0,23.8,56.0,0.1,5eeaa83f976a39410e8c5a5a403eac3407af71ab,2019-07-15 18:38:25,2019-07-15 18:38:25
48,2.05,1.2,1.58,0.31,871.1,35.0,62.0,0.1,e12c727db6b32f1aa6f30a1308e70b78e8dc1aed,2019-07-15 18:38:25,2019-07-15 18:38:25
49,1.87,1.2,1.58,0.47,869.7,29.1,71.0,0.1,3cd100df45b40586b025c810b13778ea1815ae0e,2019-07-15 18:38:25,2019-07-15 18:38:25
50,1.85,1.2,1.34,0.38,867.5,24.7,72.0,0.1,74d79628510e2f7119290f7443f9597674f2e30a,2019-07-15 18:38:25,2019-07-15 18:38:25
51,2.09,1.2,1.59,0.31,871.8,26.4,69.0,0.1,77ccfc4c775ea72bfa2224a399f83fcb6a493b25,2019-07-15 18:38:25,2019-07-15 18:38:25
52,1.85,1.2,1.51,0.3,870.9,33.9,66.0,0.1,630c58277028e88ce71d9df3e137fd1687d7b681,2019-07-15 18:38:25,2019-07-15 18:38:25
53,1.89,1.2,1.51,0.4,874.1,23.7,70.0,0.1,9e70375611ae54cac474f44df6b43f1b506f7e7d,2019-07-15 18:38:25,2019-07-15 18:38:25
54,2.0,1.2,1.45,0.43,869.8,29.8,59.0,0.1,9a5d184ac9ead48874edd60be48a41138923e657,2019-07-15 18:38:25,2019-07-15 18:38:25
55,1.98,1.2,1.55,0.45,868.9,25.0,74.0,0.1,d601b35dec3a25e37c5de5c8250a213daa6de61d,2019-07-15 18:55:49,2019-07-15 18:55:49
56,2.17,1.2,1.49,0.25,868.0,35.0,66.0,0.1,cdc52deef9529ef5109a6bd8056d75fce96ae6ff,2019-07-15 18:55:49,2019-07-15 18:55:49
57,1.86,1.2,1.51,0.4,869.1,28.0,66.0,0.1,f5b8d5b44213ba8033acfa5d346c372caadeac4a,2019-07-15 18:55:49,2019-07-15 18:55:49
58,1.83,1.2,1.44,0.35,868.3,22.8,65.0,0.1,b7f625c5717ba206e7bfff25051f632744b051fb,2019-07-15 18:55:49,2019-07-15 18:55:49
59,2.08,1.2,1.49,0.51,869.3,24.0,67.0,0.1,1f288d20833cb5f89c10e33053a7d55061908e11,2019-07-15 18:55:49,2019-07-15 18:55:49
60,1.91,1.2,1.65,0.38,868.5,30.1,60.0,0.1,057ad10fc866a298748ff32225941ecb83f7f739,2019-07-15 18:55:49,2019-07-15 18:55:49
61,1.9,1.2,1.49,0.41,869.7,26.6,71.0,0.1,a3cf62b1fc55ee8dd831d63da276519bc4df4373,2019-07-15 18:55:49,2019-07-15 18:55:49
62,1.81,1.2,1.63,0.44,869.4,18.0,70.0,0.1,b99e3d77bab5812c1d4a8fe1bd1ef377cd4e5d4a,2019-07-15 18:55:49,2019-07-15 18:55:49
63,2.33,1.2,1.4,0.48,869.3,27.4,65.0,0.1,3ff4c91d83bcb5fd3b9b579cca79628ae638939e,2019-07-15 18:55:49,2019-07-15 18:55:49
64,2.07,1.2,1.31,0.37,869.0,36.7,68.0,0.1,af11d4b494943ea9c19d19605b91377fe71ee6b2,2019-07-15 18:55:49,2019-07-15 18:55:49
65,1.9,1.2,1.51,0.41,870.3,29.5,62.0,0.1,30d1e1403ddaed125ab7367b39ade0c41ce5f2d0,2019-07-15 18:55:49,2019-07-15 18:55:49
66,2.01,1.2,1.42,0.45,865.4,32.0,68.0,0.1,676ee2eccff430131075573af6bc563c7d805cad,2019-07-15 18:55:49,2019-07-15 18:55:49
67,1.9,1.2,1.52,0.41,867.3,23.1,65.0,0.1,4850521017f9c148dc8988d06c8583384b165924,2019-07-15 18:55:49,2019-07-15 18:55:49
68,2.02,1.2,1.6,0.22,871.0,20.7,69.0,0.1,64f4adab7db1d9f92b59d76c35a6a0889ea3a113,2019-07-15 18:55:49,2019-07-15 18:55:49
69,1.93,1.2,1.38,0.17,869.3,37.1,66.0,0.1,c3de924b883a5cd8abda7d199344244b2a73295a,2019-07-15 18:55:49,2019-07-15 18:55:49
70,1.99,1.2,1.5,0.34,866.8,33.9,64.0,0.1,fe90f3e9f60313f6e7d7c908de465e70944bb9df,2019-07-15 18:55:49,2019-07-15 18:55:49
71,2.01,1.2,1.52,0.43,866.8,31.1,57.0,0.1,8d7c6866d8d28f3add91d39da00f45e6306a525b,2019-07-15 18:55:49,2019-07-15 18:55:49
72,2.01,1.2,1.49,0.36,867.8,29.5,65.0,0.1,ce9495a3cf3eee5cff22f236f32921d7fce7eb29,2019-07-15 18:55:49,2019-07-15 18:55:49
73,2.01,1.2,1.65,0.41,869.6,22.4,63.0,0.1,bb112aa6b2d48c18ce4800efe2df991d87116d5c,2019-07-15 18:55:49,2019-07-15 18:55:49
