da_AVE,da_STD,dm_AVE,dm_STD,Temperature_AVE,Temperature_STD,Pressure_AVE,Pressure_STD,MeanFreePath_AVE,MeanFreePath_STD,Viscosity_AVE,Viscosity_STD,Dm_AVE,Dm_STD,rhoEff_AVE,rhoEff_STD,ABS_CRS_AVE,ABS_CRS_STD,SCA_CRS_AVE,SCA_CRS_STD,SSA_AVE,SSA_STD,ABS_Eff_AVE,ABS_Eff_STD,SCA_Eff_AVE,SCA_Eff_STD
50,1,97.62210958843103,2.1005764931918836,298,1,93900,1,7.164182947764381e-08,2.996426924115326e-10,1.8363866883331307e-05,4.658043737615507e-08,2.8,0.01,450,1,0.0008026877670154879,8.1706101427376e-05,1.4291469174539106e-05,1.1153914107521135e-06,0.01766109302645457,0.0021951240671178283,0.10737610131722897,0.011735049011093686,0.001911958638238918,0.00017017417727525764
60,1,118.50704130451871,2.0919484659451184,298,1,93900,1,7.164227391190593e-08,3.0694260710599026e-10,1.836393145104207e-05,4.7710240290857454e-08,2.8,0.01,450,1,0.0015586590960794211,0.00018365293419458193,4.4812599401820994e-05,2.08910887819888e-06,0.028316964506624877,0.0035250621805461356,0.14144431103447705,0.01740705767022426,0.004066576930827599,0.000237965889805853
70,1,139.08503956256612,2.112887235809291,298,1,93900,1,7.164138297083746e-08,3.0094903026162286e-10,1.8363799533416026e-05,4.6780431810740525e-08,2.8,0.01,450,1,0.002350681099060119,0.00037934016929397796,9.283105482753401e-05,1.2798153749833491e-05,0.03835335353434397,0.00434273868313576,0.15482263384153774,0.0254214650567447,0.006113738548656133,0.0008600004497472159
100,1,199.66127259905033,2.3230131440381414,298,1,93900,1,7.164452752521981e-08,3.0720743836087393e-10,1.8364283740618755e-05,4.7748619272933677e-08,2.8,0.01,450,1,0.007530864604414818,0.0007690325640136771,0.000540550671886591,2.0824685790140285e-05,0.06754672782473185,0.0065858208468759765,0.24061977498090623,0.025124970311534763,0.01727134579221337,0.0007694134997640613
125,1,249.1967481662115,2.61250261355775,298,1,93900,1,7.163480988555172e-08,2.994956702360967e-10,1.836277262613096e-05,4.654825178261029e-08,2.8,0.01,450,1,0.015058588314359491,0.001581938773381312,0.001635518127446562,7.171291404078206e-05,0.09879338838519866,0.00968313352183179,0.30886946937596627,0.03327505472682869,0.03354568982790977,0.0016509621853721757
150,1,298.280873730998,3.0605659549486286,298,1,93900,1,7.16361278032718e-08,3.1374756427343457e-10,1.836297539347757e-05,4.877023120398821e-08,2.8,0.01,450,1,0.02359230833941619,0.00255939287767658,0.0035427805146010967,0.00015486153015020816,0.13164365843840334,0.012761451291279383,0.3377508291653511,0.03750455520159334,0.0507158938691329,0.002456890637405475
250,1,495.7288504078992,5.647583788305752,298,1,93900,1,7.163507568848336e-08,2.968454411439664e-10,1.8362821935956503e-05,4.6140933308762565e-08,2.8,0.01,450,1,0.13369337160467612,0.015922696803628043,0.037460668547568764,0.0026348743752202986,0.2203858479561498,0.021049174082916632,0.6929986204938315,0.08444065348480945,0.19417162638069807,0.014495895633490885
300,1,596.158812076262,7.249701180641495,298,1,93900,1,7.164245686634783e-08,3.0005092888314484e-10,1.836396257959086e-05,4.6641216111217137e-08,2.8,0.01,450,1,0.2758979371205094,0.0379895672689035,0.08885324634614933,0.009287572608897923,0.2452891897849951,0.026235848654682606,0.9889211900213742,0.13899097506603472,0.31845906364759574,0.03423152349668828
350,1,697.8612138284184,8.87988514903208,298,1,93900,1,7.1648807225947e-08,3.0187184813983963e-10,1.836495658898865e-05,4.691804451505276e-08,2.8,0.01,450,1,0.4954017266697063,0.06618918467433174,0.17666319051825025,0.02022457423717992,0.2644269018155622,0.030124070211581623,1.2958193635903532,0.1764019297713559,0.46211442162802124,0.05438618510135891
450,1,905.1095168388567,12.568331721499234,298,1,93900,1,7.164546080046317e-08,2.968488115914154e-10,1.8364433989386392e-05,4.613696697853233e-08,2.8,0.01,450,1,1.0104491555091977,0.17078611053579534,0.39897705195810723,0.07422490755533404,0.2843089503428786,0.04148780149879576,1.5713867330967557,0.2692643500626856,0.6204508724237882,0.11676137534647392
500,1,1010.0476044329127,14.389369519822743,298,1,93900,1,7.164529883882561e-08,3.0127097589621337e-10,1.836440679898517e-05,4.682932148824127e-08,2.8,0.01,450,1,1.5907818377543514,0.347647179495286,0.6144227280952074,0.16821411874442477,0.2793554818183027,0.0570291240707358,1.9870555716979361,0.44088652099639003,0.7675376157348166,0.2124990292424381
550,1,1116.3395098390833,16.117996951122,298,1,93900,1,7.163678457149198e-08,3.0893626802304185e-10,1.8363076273169377e-05,4.802139029290225e-08,2.8,0.01,450,1,1.7389727751331583,0.4258699509856328,0.7015514382941686,0.17818903663040836,0.2888331806660689,0.04480773745950807,1.7778254131743498,0.4383270413958227,0.7172524450499129,0.18334033706447314
