dm,ABS_TMatrix,SCA_TMatrix,ABS_RDG,SCA_RDG,NumberOfCalcs,dp_median,Np_Ave,dp_Ave,D_TEM,dp_100nm,RealErrorABS,RealErrorSCA,AbsoluteErrorABS,AbsoluteErrorSCA,RealPercentErrorABS,AbsolutePercentErrorABS,RatioABS,RealPercentErrorSCA,AbsolutePercentErrorSCA,RatioSCA,SSA_TMatrix,SSA_RDG,MAC_TMatrix,MSC_TMatrix,MAC_RDG,MSC_RDG,Agg_Mass_gr
80,0.000892012,3.19857E-05,0.000744326,2.48391E-05,28,13.955,34.83347904,16.54099652,0.375,15.17319211,0.000147686,7.14667E-06,0.000147686,7.14667E-06,19.84158669,19.84158669,1.198415867,28.77186275,28.77186275,1.287718628,0.034616682,0.032293555,6.130903643,0.219841733,5.115839845,0.17072187,1.45E-16
83.849,0.001005273,3.95872E-05,0.000837091,3.08957E-05,28,14.203,37.15437682,16.83463443,0.375,15.17319211,0.000168182,8.69158E-06,0.000168182,8.69158E-06,20.09118482,20.09118482,1.200911848,28.13203588,28.13203588,1.281320359,0.037887591,0.035594607,6.143672684,0.241935302,5.115839845,0.188817184,1.64E-16
87.883,0.001159708,4.91088E-05,0.000961953,3.87157E-05,29,14.456,45.58482497,17.44282135,0.375,15.17319211,0.000197755,1.03931E-05,0.000197755,1.03931E-05,20.55770102,20.55770102,1.20557701,26.84462714,26.84462714,1.268446271,0.040625502,0.038689845,6.167538905,0.261169508,5.115839845,0.205897178,1.88E-16
92.112,0.001309388,6.09701E-05,0.001081901,4.80087E-05,29,14.713,48.63359424,17.75319184,0.375,15.17319211,0.000227487,1.29615E-05,0.000227487,1.29615E-05,21.02655933,21.02655933,1.210265593,26.99818012,26.99818012,1.269981801,0.044492125,0.042488938,6.191524946,0.288301239,5.115839845,0.227012103,2.11E-16
96.543,0.001475659,7.4205E-05,0.001216716,5.9427E-05,29,14.974,51.88232222,18.06806817,0.375,15.17319211,0.000258942,1.47781E-05,0.000258942,1.47781E-05,21.28205857,21.28205857,1.212820586,24.86758819,24.86758819,1.248675882,0.047878412,0.046567622,6.204595877,0.312004478,5.115839845,0.249868267,2.38E-16
101.188,0.001659577,9.00931E-05,0.001363861,7.27296E-05,28,15.241,55.34077473,18.31027054,0.375,15.17319211,0.000295716,1.73634E-05,0.000295716,1.73634E-05,21.68224662,21.68224662,1.216822466,23.87396129,23.87396129,1.238739613,0.051491483,0.050626562,6.225068857,0.337939007,5.115839845,0.272808752,2.67E-16
106.057,0.001869572,0.000108804,0.001533883,8.97037E-05,28,15.512,59.03134985,18.63570245,0.375,15.17319211,0.00033569,1.91006E-05,0.00033569,1.91006E-05,21.88495414,21.88495414,1.218849541,21.29297893,21.29297893,1.212929789,0.054996757,0.05525034,6.235439049,0.362886504,5.115839845,0.299181789,3.00E-16
111.16,0.002142967,0.000135117,0.001755115,0.000111134,29,15.787,71.51367806,19.23638184,0.375,15.17319211,0.000387852,2.39837E-05,0.000387852,2.39837E-05,22.09838744,22.09838744,1.220983874,21.58095957,21.58095957,1.215809596,0.059311846,0.059549236,6.246357955,0.393842551,5.115839845,0.3239344,3.43E-16
116.508,0.00241646,0.000164969,0.001973918,0.000136514,29,16.068,76.28293077,19.57877152,0.375,15.17319211,0.000442542,2.84553E-05,0.000442542,2.84553E-05,22.41949787,22.41949787,1.224194979,20.84424688,20.84424688,1.208442469,0.063906163,0.064685319,6.26278545,0.427553918,5.115839845,0.353805769,3.86E-16
122.113,0.00270637,0.000197053,0.002209905,0.000165195,28,16.354,81.36230743,19.81096228,0.375,15.17319211,0.000496465,3.18581E-05,0.000496465,3.18581E-05,22.46543951,22.46543951,1.224654395,19.28514071,19.28514071,1.192851407,0.067869228,0.069552856,6.265135751,0.456169817,5.115839845,0.38241965,4.32E-16
127.989,0.003047231,0.000238343,0.00248532,0.000202007,28,16.644,86.79919262,20.16214968,0.375,15.17319211,0.00056191,3.63363E-05,0.00056191,3.63363E-05,22.60917743,22.60917743,1.226091774,17.98766494,17.98766494,1.179876649,0.072542354,0.075170206,6.272489153,0.490611219,5.115839845,0.415815686,4.86E-16
134.147,0.003439834,0.000289026,0.002795207,0.000246475,28,16.94,92.60342337,20.52104164,0.375,15.17319211,0.000644627,4.25512E-05,0.000644627,4.25512E-05,23.0618707,23.0618707,1.230618707,17.2639039,17.2639039,1.172639039,0.077510563,0.081032426,6.295648215,0.528980844,5.115839845,0.451102877,5.46E-16
140.601,0.003919577,0.000343315,0.003186897,0.00030141,29,17.241,110.7798739,21.11798436,0.375,15.17319211,0.00073268,4.19049E-05,0.00073268,4.19049E-05,22.9903839,22.9903839,1.229903839,13.90298724,13.90298724,1.139029872,0.080535621,0.086405725,6.291991065,0.551113693,5.115839845,0.48384481,6.23E-16
147.366,0.004411762,0.000415993,0.003584274,0.000366005,29,17.548,118.1710734,21.4941208,0.375,15.17319211,0.000827488,4.99878E-05,0.000827488,4.99878E-05,23.08662277,23.08662277,1.230866228,13.65768309,13.65768309,1.136576831,0.086166935,0.092652953,6.296914492,0.593747199,5.115839845,0.522399527,7.01E-16
154.456,0.004929806,0.0004834,0.004006698,0.000435918,28,17.86,126.061175,21.70817722,0.375,15.17319211,0.000923108,4.74823E-05,0.000923108,4.74823E-05,23.03911863,23.03911863,1.230391186,10.89247803,10.89247803,1.10892478,0.089300174,0.098121914,6.294484256,0.617216039,5.115839845,0.556589636,7.83E-16
161.887,0.00555466,0.000583272,0.00450596,0.000526608,28,18.177,134.4673239,22.09323361,0.375,15.17319211,0.0010487,5.6664E-05,0.0010487,5.6664E-05,23.27361057,23.27361057,1.232736106,10.76018596,10.76018596,1.10760186,0.09502746,0.104640025,6.306480488,0.662217687,5.115839845,0.597884231,8.81E-16
169.676,0.006320232,0.000709192,0.005122407,0.000636771,29,18.501,158.9836113,22.68033314,0.375,15.17319211,0.001197825,7.24203E-05,0.001197825,7.24203E-05,23.38403669,23.38403669,1.233840367,11.37303823,11.37303823,1.113730382,0.100889016,0.110566367,6.312129712,0.708282479,5.115839845,0.635955066,1.00E-15
177.84,0.00710243,0.000829523,0.005760696,0.000765376,29,18.829,169.597582,23.08222983,0.375,15.17319211,0.001341733,6.41472E-05,0.001341733,6.41472E-05,23.29116769,23.29116769,1.232911677,8.38114215,8.38114215,1.083811422,0.104579907,0.117279682,6.307378682,0.736665484,5.115839845,0.679698949,1.13E-15
186.396,0.007925613,0.000964102,0.006427183,0.000898079,28,19.164,180.9019157,23.25789029,0.375,15.17319211,0.00149843,6.6023E-05,0.00149843,6.6023E-05,23.31394673,23.31394673,1.233139467,7.351582807,7.351582807,1.073515828,0.108451403,0.122600262,6.308544022,0.767395577,5.115839845,0.714843281,1.26E-15
195.364,0.008916568,0.001154312,0.007228424,0.001074058,28,19.505,192.9691041,23.67171364,0.375,15.17319211,0.001688145,8.02539E-05,0.001688145,8.02539E-05,23.35425695,23.35425695,1.23354257,7.472026319,7.472026319,1.074720263,0.114618792,0.129365923,6.310606228,0.816952127,5.115839845,0.760153274,1.41E-15
204.764,0.01003774,0.001339778,0.00812969,0.001281418,28,19.852,205.8599832,24.0930105,0.375,15.17319211,0.00190805,5.83603E-05,0.00190805,5.83603E-05,23.47014379,23.47014379,1.234701438,4.554350117,4.554350117,1.045543501,0.117756644,0.136160173,6.316534813,0.843093846,5.115839845,0.80636898,1.59E-15
214.616,0.011379851,0.001606828,0.009218742,0.001528617,29,20.205,240.6442173,24.68134599,0.375,15.17319211,0.002161108,7.82109E-05,0.002161108,7.82109E-05,23.44255227,23.44255227,1.234425523,5.116449766,5.116449766,1.051164498,0.123728909,0.14223184,6.315123275,0.891691307,5.115839845,0.848289025,1.80E-15
