AA_FileName,AA_Plot,AGG_AERODYNAMIC_DIAMETER_CENTER,AGG_AERODYNAMIC_DIAMETER_STANDARD_DEVIATION,AGG_EFF_DM_CENTER,AGG_EFF_DM_STANDARD_DEVIATION,AGG_EFF_RHO_100NM_CENTER,AGG_EFF_RHO_100NM_STANDARD_DEVIATION,AGG_EXPONENT_CONTINUUM_REGIME_D_MC_CENTER,AGG_EXPONENT_CONTINUUM_REGIME_D_MC_STANDARD_DEVIATION,AGG_EXPONENT_FREE_MOLECULAR_D_MFM_CENTER,AGG_EXPONENT_FREE_MOLECULAR_D_MFM_STANDARD_DEVIATION,AGG_EXPONENT_PROJECTED_AREA_COEFFICIENT_CENTER,AGG_EXPONENT_PROJECTED_AREA_COEFFICIENT_STANDARD_DEVIATION,AGG_FRACTAL_DIMENSION_CENTER,AGG_FRACTAL_DIMENSION_STANDARD_DEVIATION,AGG_FRACTAL_PREFACTOR_CENTER,AGG_FRACTAL_PREFACTOR_STANDARD_DEVIATION,AGG_MATERIAL_DENSITY_CENTER,AGG_MATERIAL_DENSITY_STANDARD_DEVIATION,AGG_MOBILITY_DIAMETER_CENTER_MAX,AGG_MOBILITY_DIAMETER_CENTER_MIN,AGG_POLYDISPERSITY_SIGMA_EACH_MOBILITY_CENTER,AGG_POLYDISPERSITY_SIGMA_EACH_MOBILITY_STANDARD_DEVIATION,AGG_POLYDISPERSITY_SIGMA_WITHIN_CENTER,AGG_POLYDISPERSITY_SIGMA_WITHIN_STANDARD_DEVIATION,AGG_PREFACTOR_PROJECTED_AREA_COEFFICIENT_CENTER,AGG_PREFACTOR_PROJECTED_AREA_COEFFICIENT_STANDARD_DEVIATION,AGG_PRIMARY_DIAMETER_CENTER,AGG_PRIMARY_DIAMETER_STANDARD_DEVIATION,AGG_PRIMARY_NUMBER_CENTER,AGG_PRIMARY_NUMBER_STANDARD_DEVIATION,AGG_RI_IMAG_CENTER,AGG_RI_IMAG_STANDARD_DEVIATION,AGG_RI_REAL_CENTER,AGG_RI_REAL_STANDARD_DEVIATION,AGG_WLENGTH_CENTER,AGG_WLENGTH_STANDARD_DEVIATION,AIR_PRESSURE_CENTER,AIR_PRESSURE_STANDARD_DEVIATION,AIR_TEMPERATURE_CENTER,AIR_TEMPERATURE_STANDARD_DEVIATION,CPC_NUMBER_DENSITY_CENTER,CPC_NUMBER_DENSITY_STANDARD_DEVIATION,D_TEM,MONTECARLO_ARRAY_SIZE,MONTECARLO_RANDOM_SIZE,MobilityBins,NumberOfSigma,PAX_ABSORPTION_COEFFICIENT_CENTER,PAX_ABSORPTION_COEFFICIENT_STANDARD_DEVIATION,PAX_SCATTERING_COEFFICIENT_CENTER,PAX_SCATTERING_COEFFICIENT_STANDARD_DEVIATION,PAX_WAVE_LENGTH_CENTER,PAX_WAVE_LENGTH_STANDARD_DEVIATION,PrimaryBins,VERSION,dp100_nano
TR_2019-09-01T044712+0000.csv,1,250.0,5.0,2.2,0.01,450.0,1.0,0.52,0.01,0.46,0.01,1.1,0.02,1.9,0.2,1.2,0.0,1800.0,20.0,950.0,50.0,1.0,0.01,1.0,0.0,1.13,0.02,65.0,25.0,300.0,100.0,0.79,0.2,1.95,0.2,550.0,20.0,93900.0,100.0,298.0,2.0,2751.55,133.71,0.0,10000.0,1000.0,59,3,366.69,15.6,102.66,5.21,870.0,10.0,48,0.2,15.17319211
TR_2019-09-01T045440+0000.csv,1,250.0,5.0,2.2,0.01,450.0,1.0,0.52,0.01,0.46,0.01,1.1,0.02,1.9,0.2,1.2,0.0,1800.0,20.0,950.0,50.0,1.4,0.01,1.0,0.0,1.13,0.02,65.0,25.0,300.0,100.0,0.79,0.2,1.95,0.2,550.0,20.0,93900.0,100.0,298.0,2.0,2751.55,133.71,0.0,10000.0,1000.0,59,3,366.69,15.6,102.66,5.21,870.0,10.0,48,0.2,15.17319211
TR_2019-09-01T054200+0000.csv,1,250.0,5.0,2.2,0.01,450.0,1.0,0.52,0.01,0.46,0.01,1.1,0.02,1.9,0.2,1.2,0.0,1800.0,20.0,950.0,50.0,1.8,0.01,1.0,0.0,1.13,0.02,65.0,25.0,300.0,100.0,0.79,0.2,1.95,0.2,550.0,20.0,93900.0,100.0,298.0,2.0,2751.55,133.71,-0.0,10000.0,1000.0,59,3,366.69,15.6,102.66,5.21,870.0,10.0,48,0.2,15.173192108690527
TR_2019-09-01T061238+0000.csv,1,250.0,5.0,2.5,0.01,450.0,1.0,0.52,0.01,0.46,0.01,1.1,0.02,1.9,0.2,1.2,0.0,1800.0,20.0,950.0,50.0,1.0,0.01,1.0,0.0,1.13,0.02,65.0,25.0,300.0,100.0,0.79,0.2,1.95,0.2,550.0,20.0,93900.0,100.0,298.0,2.0,2751.55,133.71,0.37499999999999983,10000.0,1000.0,59,3,366.69,15.6,102.66,5.21,870.0,10.0,48,0.2,15.173192108690527
TR_2019-09-01T061442+0000.csv,1,250.0,5.0,2.5,0.01,450.0,1.0,0.52,0.01,0.46,0.01,1.1,0.02,1.9,0.2,1.2,0.0,1800.0,20.0,950.0,50.0,1.4,0.01,1.0,0.0,1.13,0.02,65.0,25.0,300.0,100.0,0.79,0.2,1.95,0.2,550.0,20.0,93900.0,100.0,298.0,2.0,2751.55,133.71,0.37499999999999983,10000.0,1000.0,59,3,366.69,15.6,102.66,5.21,870.0,10.0,48,0.2,15.173192108690527
TR_2019-09-01T163740+0000.csv,1,250.0,5.0,2.5,0.01,450.0,1.0,0.52,0.01,0.46,0.01,1.1,0.02,1.9,0.2,1.2,0.0,1800.0,20.0,950.0,50.0,1.8,0.01,1.0,0.0,1.13,0.02,65.0,25.0,300.0,100.0,0.79,0.2,1.95,0.2,550.0,20.0,93900.0,100.0,298.0,2.0,2751.55,133.71,0.37499999999999983,10000.0,1000.0,59,3,366.69,15.6,102.66,5.21,870.0,10.0,48,0.2,15.173192108690527
TR_2019-09-01T170223+0000.csv,1,250.0,5.0,2.8,0.01,450.0,1.0,0.52,0.01,0.46,0.01,1.1,0.02,1.9,0.2,1.2,0.0,1800.0,20.0,950.0,50.0,1.0,0.01,1.0,0.0,1.13,0.02,65.0,25.0,300.0,100.0,0.79,0.2,1.95,0.2,550.0,20.0,93900.0,100.0,298.0,2.0,2751.55,133.71,0.7499999999999997,10000.0,1000.0,59,3,366.69,15.6,102.66,5.21,870.0,10.0,48,0.2,15.173192108690527
TR_2019-09-01T170352+0000.csv,1,250.0,5.0,2.8,0.01,450.0,1.0,0.52,0.01,0.46,0.01,1.1,0.02,1.9,0.2,1.2,0.0,1800.0,20.0,950.0,50.0,1.4,0.01,1.0,0.0,1.13,0.02,65.0,25.0,300.0,100.0,0.79,0.2,1.95,0.2,550.0,20.0,93900.0,100.0,298.0,2.0,2751.55,133.71,0.7499999999999997,10000.0,1000.0,59,3,366.69,15.6,102.66,5.21,870.0,10.0,48,0.2,15.173192108690527
TR_2019-09-01T173632+0000.csv,1,250.0,5.0,2.8,0.01,450.0,1.0,0.52,0.01,0.46,0.01,1.1,0.02,1.9,0.2,1.2,0.0,1800.0,20.0,950.0,50.0,1.8,0.01,1.0,0.0,1.13,0.02,65.0,25.0,300.0,100.0,0.79,0.2,1.95,0.2,550.0,20.0,93900.0,100.0,298.0,2.0,2751.55,133.71,0.7499999999999997,10000.0,1000.0,59,3,366.69,15.6,102.66,5.21,870.0,10.0,48,0.2,15.173192108690527
TR_2019-09-01T180053+0000.csv,1,250.0,5.0,2.2,0.01,550.0,1.0,0.52,0.01,0.46,0.01,1.1,0.02,1.9,0.2,1.2,0.0,1800.0,20.0,950.0,50.0,1.0,0.01,1.0,0.0,1.13,0.02,65.0,25.0,300.0,100.0,0.79,0.2,1.95,0.2,550.0,20.0,93900.0,100.0,298.0,2.0,2751.55,133.71,-0.0,10000.0,1000.0,59,3,366.69,15.6,102.66,5.21,870.0,10.0,48,0.2,19.499104920641006
